freq_GHz,P1_RL_dB,P2_RL_dB,P3_RL_dB,P4_RL_dB,Sigma_RL_dB,Delta1_RL_dB,Delta2_RL_dB,Delta3_RL_dB,worst_modal_conversion_dB
11.025,18.64841274005841,18.532671163028944,4.52885100216944,1.8477414515302497,1.2093290840325426,2.0576414085549528e-05,1.0234853967551072,0.22840980502144562,-6.970552637360306
11.05,18.759116182342133,18.644587337147435,4.514112236881318,1.8635363638211397,1.2136054196025061,2.3182879480915797e-05,1.0199216026801325,0.23263425757180356,-6.97949572193081
11.075,18.870083562138824,18.75692054450685,4.500174383879283,1.8797819932764146,1.218016210870342,2.576169489419224e-05,1.016347646589931,0.23707530572403335,-6.988739875679593
11.1,18.98126523566924,18.869624278073257,4.487056263677981,1.8964957687097561,1.2225742970485247,2.8194208357427186e-05,1.0127662135806283,0.24174130536543448,-6.99827621592798
11.125,19.09260960767692,18.98264983275113,4.474776859658705,1.9136958102312374,1.2272931728340681,3.0347266956471956e-05,1.009180058617223,0.2466410799083266,-7.008095494534147
11.15,19.20406295063171,19.095946082172983,4.463355362650643,1.9314009549399325,1.2321870139353654,3.2077001374075195e-05,1.005592000650619,0.2517839446479731,-7.01818811490115
11.175,19.315569192505155,19.209459217390563,4.452811217596494,1.949630782187394,1.2372707049425655,3.3234263103797105e-05,1.00200491511694,0.25717973080530776,-7.028544149886073
11.2,19.427069668836097,19.32313244189145,4.443164172195165,1.968405638170039,1.2425598697071543,3.367203450471561e-05,0.9984217246064138,0.2628388090363095,-7.039153360800594
11.225,19.538502834206614,19.436905616529593,4.434434327389848,1.9877466595886872,1.2480709043993978,3.325518561639329e-05,0.9948453874795045,0.2687721121533354,-7.050005217721544
11.25,19.64980392756467,19.550714846976902,4.426642189542109,2.0076757960947194,1.2538210134149135,3.187301727119448e-05,0.9912788842025662,0.274991156759695,-7.061088921358976
11.275,19.760904585029543,19.664492005164583,4.41980872410107,2.0282158312235192,1.2598282483028933,2.945510950306795e-05,0.98772520116866,0.2815080634474044,-7.0723934267617095
11.3,19.871732392895552,19.778164174848065,4.413955410540468,2.049390401497714,1.2661115498876605,2.5991092232194893e-05,0.9841873117678278,0.28833557514644903,-7.083907469170558
11.325,19.982210372484857,19.891653009877924,4.409104298296485,2.0712240133655158,1.2726907937524174,2.1555074594565076e-05,0.9806681544735572,0.2954870731369327,-7.095619592363356
11.35,20.09225638727448,20.00487399195061,4.405278063393285,2.0937420576233503,1.2795868392470058,1.6335616560924253e-05,0.9771706077158743,0.30297659014680256,-7.107518179867757
11.375,20.201782461312998,20.117735572508334,4.402500065392664,2.116970820957053,1.2868215821681672,1.0672307368188915e-05,0.9736974613227296,0.3108188198468282,-7.119591489450491
11.4,20.31069399632942,20.230138181017864,4.400794404248117,2.1409374942226873,1.2944180112414858,5.100238763354691e-06,0.9702513843272241,0.31902912192002836,-7.131827691321532
11.425,20.418888873099924,20.341973079031558,4.400185976580994,2.165670177076964,1.3024002685014857,4.039369238432053e-07,0.9668348889598295,0.3276235217197148,-7.144214910520297
11.45,20.526256420554727,20.45312103617583,4.4007005308282245,2.1911978785583925,1.3107937136207257,-2.317341472938141e-06,0.9634502906752697,0.3366187033281649,-7.156741273976044
11.475,20.632676233766702,20.563450800472726,4.402364720635587,2.217550513213955,1.3196249921697023,-1.5706193182514695e-06,0.9600996641019083,0.34603199458064626,-7.169394962753564
11.5,20.738016819358105,20.672817331131267,4.405206155789031,2.2447588923631048,1.3289221076915703,4.6263411446828435e-06,0.9567847948505032,0.355881342313143,-7.182164270008834
